"","Binomial","Common_name","Num_pops","Start_year","End_year","Avg_p_chg"
"89","Equus_hemionus","Wild ass / Kulan","3","1967","2000","524"
"90","Hemitragus_hylocrius","Nilgiri tahr","3","1969","1994","35"
"91","Macaca_silenus","Lion-tailed macaque","2","1977","2005","51"
"92","Ovis_ammon","Argali / Kizil-kum sheep","2","1983","1997","79"
"93","Ovis_aries","Urial","5","1953","2001","726"
"94","Panthera_pardus","Leopard","5","1974","2010","119"
"95","Panthera_tigris","Tiger","37","1955","2018","138"
"96","Rhinoceros_sondaicus","Javan rhinoceros","4","1969","2013","81"
"97","Rhinoceros_unicornis","Greater one-horned rhino","20","1966","2015","165"
"98","Tetracerus_quadricornis","Four-horned antelope","1","1979","1985","2"
"99","Trachypithecus_poliocephalus","Francois leaf monkey","1","1976","1993","186"
"100","Trachypithecus_francoisi","Fran??ois' langur","2","1982","1994","33"
"101","Agelaius_xanthomus","Yellow-shouldered blackbird","3","1982","1995","93"
"102","Amazona_arausiaca","Red-necked amazon","1","1977","1992","43"
"103","Amazona_leucocephala","Cuban amazon","3","1986","2005","62"
"104","Amazona_barbadensis","Yellow-shouldered amazon","1","1989","1996","138"
"105","Amazona_versicolor","St Lucia amazon","1","1977","1990","225"
"106","Amazona_vittata","Puerto rican amazon","1","1975","2004","186"
"107","Buteo_platypterus","Broad-winged hawk","6","1970","2014","81"
"108","Hippocamelus_bisulcus","South Andean deer / Huemul","3","1975","2008","75"
"109","Leontopithecus_chrysomelas","Golden-headed lion tamarin","1","1981","1995","100"
"110","Saimiri_oerstedii","Black-crowned Central American squirrel monkey","1","1990","1997","3"
"111","Vicugna_vicugna","Vicuna","2","1975","1992","703"
"112","Linaria_cannabina","Common linnet","8","1970","2019","54"
"113","Accipiter_gentilis","Northern goshawk","10","1970","2014","293"
"114","Accipiter_nisus","Eurasian sparrowhawk","14","1952","2019","119"
"115","Alauda_arvensis","Eurasian skylark","13","1950","2019","60"
"116","Anser_albifrons","Greater white-fronted goose","35","1960","2012","45203"
"117","Anser_brachyrhynchus","Pink-footed goose","13","1950","2010","2997"
"118","Anser_erythropus","Lesser white-fronted goose","6","1982","2011","1906"
"119","Anser_fabalis","Bean goose","11","1968","2010","279"
"120","Anthus_trivialis","Tree pipit","9","1960","2019","136"
"121","Apus_apus","Common swift","3","1995","2019","62"
"122","Aquila_chrysaetos","Golden eagle","9","1971","2014","316"
"123","Branta_bernicla","Brent goose","34","1955","2013","3336"
"124","Branta_canadensis","Canada goose","27","1964","2014","10014"
"125","Branta_leucopsis","Barnacle goose","25","1950","2012","17649"
"126","Branta_ruficollis","Red-breasted goose","8","1970","2009","1467"
"127","Bonasa_bonasia","Hazel grouse","5","1960","2019","4672"
"128","Burhinus_oedicnemus","Eurasian thick-knee / Stone curlew","4","1975","2019","87"
"129","Buteo_buteo","Eurasian buzzard","19","1969","2019","507"
"130","Buteo_lagopus","Rough-legged buzzard","15","1973","2010","418"
"131","Calidris_temminckii","Temminck's stint","1","1972","2008","141"
"132","Chloris_chloris","European greenfinch","10","1975","2019","432"
"133","Acanthis_flammea","Redpoll","12","1973","2019","3116"
"134","Spinus_spinus","Eurasian siskin","6","1976","2019","4670"
"135","Certhia_familiaris","Eurasian treecreeper","6","1951","2019","252"
"136","Circus_aeruginosus","Western marsh-harrier","13","1968","2019","1467"
"137","Columba_livia","Rock dove","13","1970","2018","163"
"138","Columba_oenas","Stock dove","3","1950","2019","2049"
"139","Columba_palumbus","Common woodpigeon","9","1956","2019","1620"
"140","Corvus_corax","Common raven","31","1970","2019","325"
"141","Corvus_corone","Carrion crow","5","1950","2019","61"
"142","Corvus_monedula","Eurasian jackdaw","5","1950","2019","1324"
"143","Crex_crex","Corncrake","16","1984","2015","646"
"144","Cuculus_canorus","Common cuckoo","3","1975","2019","31"
"145","Delichon_urbicum","Northern house martin","5","1971","2019","89"
"146","Dendrocopos_leucotos","White-backed woodpecker","1","1983","1988","100"
"147","Dendrocopos_major","Great spotted woodpecker","6","1966","2019","271"
"148","Dryocopus_martius","Black woodpecker","12","1980","2019","114"
"149","Emberiza_cirlus","Cirl bunting","4","1986","2019","269"
"150","Emberiza_schoeniclus","Reed bunting","14","1950","2019","184"
"151","Emberiza_citrinella","Yellowhammer","6","1964","2019","183"
"152","Erithacus_rubecula","European robin","12","1963","2019","71"
"153","Falco_peregrinus","Peregrine falcon","26","1961","2011","1773"
"154","Falco_subbuteo","Eurasian hobby","1","1970","1998","880"
"155","Falco_tinnunculus","Common kestrel","7","1966","2019","635"
"156","Ficedula_hypoleuca","European pied flycatcher","11","1964","2019","69"
"157","Fringilla_coelebs","Common chaffinch","9","1964","2019","87"
"158","Fringilla_montifringilla","Brambling","3","1977","2019","388"
"159","Garrulus_glandarius","Eurasian jay","4","1956","2019","32"
"160","Geronticus_eremita","Northern bald ibis","4","1980","2002","70"
"161","Aquila_fasciata","Bonelli's eagle","6","1988","2015","13"
"162","Hippolais_icterina","Icterine warbler","2","1960","2019","265"
"163","Hirundo_rustica","Barn swallow","18","1967","2019","83"
"164","Jynx_torquilla","Eurasian wryneck","4","1992","2019","125"
"165","Lagopus_lagopus","Willow grouse","13","1969","2008","4140"
"166","Lanius_collurio","Red-backed shrike","4","1964","2019","58"
"167","Lullula_arborea","Woodlark","5","1972","2019","691"
"168","Luscinia_luscinia","Thrush nightingale","3","1960","2019","156"
"169","Lyrurus_tetrix","Black grouse","11","1977","2019","90"
"170","Emberiza_calandra","Corn bunting","4","1991","2019","22"
"171","Milvus_milvus","Red kite","5","1960","2006","2721"
"172","Motacilla_alba","White wagtail","10","1960","2019","62"
"173","Muscicapa_striata","Spotted flycatcher","10","1974","2019","346"
"174","Neophron_percnopterus","Egyptian vulture","4","1990","2018","36"
"175","Nucifraga_caryocatactes","Northern nutcracker","2","1980","2019","113"
"176","Numenius_arquata","Eurasian curlew","21","1971","2019","323"
"177","Numenius_phaeopus","Whimbrel","22","1977","2019","1016"
"178","Oenanthe_oenanthe","Northern wheatear","5","1973","2019","128"
"179","Otis_tarda","Great bustard","6","1977","2011","85"
"180","Periparus_ater","Coal tit","8","1953","2019","11078"
"181","Cyanistes_caeruleus","Eurasian blue tit","11","1950","2019","108"
"182","Lophophanes_cristatus","Crested tit","3","1996","2019","72"
"183","Parus_major","Great tit","12","1962","2019","130"
"184","Poecile_montanus","Willow tit","6","1953","2019","19368"
"185","Poecile_palustris","Marsh tit","5","1979","2019","51"
"186","Passer_domesticus","House sparrow","10","1978","2019","53"
"187","Passer_montanus","Eurasian tree sparrow","7","1975","2019","231"
"188","Perdix_perdix","Grey partridge","6","1967","2019","424"
"189","Phasianus_colchicus","Common pheasant","12","1955","2019","339"
"190","Phoenicurus_phoenicurus","Common redstart","6","1971","2019","284"
"191","Phylloscopus_collybita","Common chiffchaff","11","1958","2019","110"
"192","Phylloscopus_sibilatrix","Wood warbler","6","1972","2019","243"
"193","Phylloscopus_trochiloides","Greenish warbler","1","1981","1991","57"
"194","Phylloscopus_trochilus","Willow warbler","10","1960","2019","146"
"195","Pica_pica","Eurasian magpie","5","1966","2019","84"
"196","Picus_viridis","Eurasian green woodpecker","3","1955","2019","88"
"197","Pluvialis_apricaria","Eurasian golden plover","13","1970","2019","17513"
"198","Prunella_modularis","Dunnock","10","1950","2019","120"
"199","Pyrrhula_pyrrhula","Eurasian bullfinch","6","1974","2019","437"
"200","Regulus_regulus","Goldcrest","6","1987","2019","93"
"201","Saxicola_rubetra","Whinchat","5","1982","2019","362"
"202","Scolopax_rusticola","Eurasian woodcock","3","1950","2001","109"
"203","Sitta_europaea","Eurasian nuthatch","6","1968","2019","181"
"204","Stercorarius_longicaudus","Long-tailed jaeger / Long-tailed skua","15","1983","2012","356"
"205","Streptopelia_turtur","European turtle-dove","1","2004","2019","18"
"206","Strix_uralensis","Ural owl","1","1984","1990","271"
