"ID","Binomial","Species_id","Site_ID","Site_name","Latitude","Longitude","Region","Ccamlr_id","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019"
1,"Pygoscelis_adeliae","ADPE","ACUN","Acuna Island",-60.7612,-44.637,"South Orkney Islands","48.2",758.254419419901,795.80625640301,834.68148157102,868.365320258951,901.677889780595,937.403206619252,972.548404076489,1004.7967048315,1042.65875876632,1105.96394397437,1149.49163655993,1213.83831582329,1256.07697666536,1313.32509449962,1405.17180180911,1476.56480301881,1555.00512314943,1608.8103687513,1693.76047362605,1742.10612344022,1795.60709480443,1876.69388198557,1930.66475376814,2008.71189915574,1919.64858810892,1958.65178042572,1936.71314426132,1970.90099171312,2001.97931452621,1989.85385713611,1945.80262699298,1916.19832529432,1927.83484064316,1886.38574364532,1880.00012416813,1882.77265741245,1870.28949261865,1916.216644669,2000.53039402046,2028.01257756421,2035.55551577638,1968.66517200954,1886.48213692013,1817.83686839477,1805.2111064654,1764.76615036134,1710.38365741462,1661.03959901404,1592.24934540316,1520.33788195808
3,"Pygoscelis_adeliae","ADPE","ADAR","Cape Adare",-71.3063,170.1999,"Victoria Land","88.1",147788.624449643,153276.903996884,159617.924580226,166656.830817953,174326.767236562,182133.614291172,189541.097193974,197017.374146791,204761.399424156,207696.397312162,209699.468731792,208442.307143391,217574.567719389,243946.644120216,244047.409728562,242126.305898279,241972.6061932,274703.905882769,269392.650489957,234786.949696499,171971.308271045,219902.950810323,294188.947968189,281493.773045104,334529.985712646,356520.357692589,324971.657278716,405255.00520404,336743.949940262,433178.777684127,394843.209077311,297020.83079547,331202.931573836,247552.2006064,332844.228596541,408789.65835037,344583.04776386,343746.594342696,283483.928323895,396603.594760132,390064.044466424,351140.275137353,425811.061935208,427937.081369714,459916.066984711,449109.511175977,379145.747400419,463381.593823656,500972.133725124,467288.55513603
4,"Pygoscelis_adeliae","ADPE","AKAR","Akarui Point",-68.4999,41.3901,"Queen Maud Land","58.4.2",77.9454483214275,81.8371510920633,86.0985387189235,91.4168105448359,96.9221989326469,102.350034738687,107.885585440182,114.195482705632,120.54947279057,122.913051891598,129.872354401161,203.998849818535,220.423071308575,190.467042695237,191.927916417571,177.604912397027,208.566872655748,200.39604363561,243.182201849744,201.000147157757,185.922554397513,175.578973392738,173.481615681879,175.65771746717,160.460938591969,164.614456906691,159.800881984924,196.42808622438,218.86077631566,233.687438171308,223.98262638306,228.205343438331,279.111584608448,264.634019593536,299.821279559836,266.031938575599,201.122551986268,202.512047904726,196.591629432334,173.299749539428,153.212850236885,180.841654648657,242.573095885542,229.846388058835,207.800657625249,206.176033594927,201.944340513984,205.33084257168,209.697934840035,215.337672562235
9,"Pygoscelis_adeliae","ADPE","ANDI","Andresen Island Site 2",-66.875,-66.711,"Southwest Antarctic Peninsula","48.1",79.6327169558245,83.0694065488133,86.3836258413462,89.7256849251484,93.8042772161808,97.6709944858182,101.381698750521,105.058704379122,108.859291265851,114.853180801429,119.269862117859,125.71832490877,129.527497037933,134.215708200967,142.699052534666,149.380330608787,157.765464622694,163.322894917788,171.547125656615,176.852259750028,182.319918503304,189.130913079502,194.63123901425,201.874983423668,210.672907482021,222.598917126196,228.761373123585,240.020123799629,252.110524809,260.460657047541,265.818106745338,268.713417295848,277.462926482437,282.54475580139,289.810511624547,299.219395052413,303.937949775433,318.737535137252,298.685385092992,272.304052863437,273.562671395231,278.581577986498,280.875403628618,293.495310774742,313.29789419144,329.87501465194,319.454802885884,309.215881343151,296.383788426592,284.054976531182
10,"Pygoscelis_adeliae","ADPE","ANDR","Andresen Island Site 1",-66.879,-66.649,"Southwest Antarctic Peninsula","48.1",1349.5634583588,1397.73989236405,1453.5508885215,1504.15615698157,1559.20062204172,1623.83992366741,1679.10856586508,1743.14660118667,1812.41721198187,1910.14894955578,1996.9836570213,2113.40444078928,2174.56989297269,2268.22424872277,2269.07560598864,2239.00171051722,2223.70652918343,2155.84221668212,2129.48995926332,2065.27135499006,2010.88100584271,1972.84233938212,1937.09227967995,1891.57396374212,1847.70568933099,1825.03490316171,1766.03698774857,1759.68611682856,1731.64183578526,1689.96414536825,1619.36086547361,1549.51135741795,1513.15297396957,1446.19437969493,1391.61388774192,1347.08891225362,1290.85926447293,1269.35231043161,1146.69965086859,1138.21394245878,1072.09023479535,1012.20782256823,953.769555051755,964.504639073852,994.412419265634,1011.17722885357,979.951795387369,949.087567696125,914.270863139601,878.047640210879
12,"Pygoscelis_adeliae","ADPE","ANNE","Cape Anne",-73.617,169.85,"Victoria Land","88.1",183.903260835705,190.91754862751,198.339309018351,207.116228693343,215.390609884632,224.848637354726,234.425905682484,244.827536810313,254.347072866129,257.671753411287,260.651541762938,258.252040437213,269.25770729083,374.188865832305,407.400520136576,440.537474087977,482.680167751873,465.730308798668,387.662904797503,371.206175801278,299.898738835741,344.57812099512,394.488546131768,360.217769307291,314.273654651985,245.453486941055,164.745643653714,206.128663381051,171.50490544177,245.887794783656,251.8692212669,212.032375876323,266.128125110021,169.301787511039,193.154723480331,201.399294148275,143.101102437929,165.937294124715,159.446041903213,257.961221873591,295.294879935874,307.873775394263,433.211955480096,507.428697376647,467.724378145282,390.480116127253,256.997782700157,246.547413689578,208.465918817604,195.369784652195
13,"Pygoscelis_adeliae","ADPE","ARDL","Ardley Island",-62.213,-58.933,"South Shetland Islands","48.1",550.741891108058,573.142907686167,595.61827908176,623.427413070155,650.267703364262,680.377522811524,705.898335735935,732.945844263253,764.659624088738,813.230611141521,980.928880807085,1309.81701746007,1181.27017394821,1076.89820281102,1324.31020690646,933.798572690452,1157.58132207912,1164.60423449732,1183.12166896511,1177.79102498508,1177.28607137169,1188.75503607508,1199.16825921633,1204.0752574327,1096.72518156182,1221.89686088125,927.09367322951,1171.05818685468,1189.61009964577,974.641141887475,879.660566591846,780.750447254057,768.816710650803,558.791015967868,409.290434777735,334.808455938077,345.676761679727,368.835828298961,400.200522205414,420.621954173289,434.080928859849,407.515879975897,383.946590927743,428.634249246141,509.17543312808,381.994451969462,445.785486502812,350.382122974186,338.436939588485,299.764144656917
14,"Pygoscelis_adeliae","ADPE","ARMS","Armstrong Reef",-65.884,-66.197,"Southwest Antarctic Peninsula","48.1",5812.58523726071,6029.46648194358,6234.59184125359,6433.75006805718,6711.83347150047,6950.89614370961,7185.00047760529,7473.21194104416,7746.38736621632,8164.31498060574,8479.83082335694,8986.69269434838,9246.51408062873,9624.20741313588,9461.49953425085,9068.02016274251,8770.795158372,8380.81398038951,8085.17829978199,7644.83497537649,7244.18555991729,6955.73067677812,6620.41843059811,6299.14840075072,6022.45913577142,5866.03303094898,5505.76178223211,5320.27147147185,5129.23648535668,4889.40450615855,4589.33396692666,4310.15996246858,4115.24255735472,3843.76560581949,3625.68697620928,3423.29791232913,3181.67023980653,3087.76424551371,3055.74771161052,2909.51004329281,2740.4081001192,2615.44268602565,2473.26298634677,2378.47805048778,2334.18002138449,2266.66004870627,2204.05130160426,2138.02477127965,2045.23437657108,1959.8106297607
23,"Pygoscelis_adeliae","ADPE","BEAN","Beaufort Island North",-76.9288,166.881,"Victoria Land","88.1",129.745315304496,135.175705823368,140.509809320359,146.754787715058,153.209171769948,158.886281126908,164.862403412464,171.81204783159,178.913199417035,182.408146584654,183.849652369759,183.794669721578,192.016269811834,267.122922196506,290.754413658986,315.659608026374,344.397304787502,368.443361349202,341.359043728211,318.329842178276,250.743983918796,280.370493579283,328.998660795748,309.354695783022,360.949856918043,377.317720246853,336.446663033015,410.533714828313,333.927146970836,452.862201309066,436.001344632402,346.513796007729,407.726096102788,321.360661762937,454.992339131374,502.492174860134,489.22781483583,566.627638532625,542.563397477826,857.386204276614,945.765838306367,841.091770030145,1002.40084531908,992.96338908378,1089.5719470736,1087.4332008439,862.451766891612,992.218410211252,1010.78190274097,946.706728437646
24,"Pygoscelis_adeliae","ADPE","BEAU","Beaufort Island",-76.9694,166.8978,"Victoria Land","88.1",20893.1181677818,21840.2219001096,22750.3384028518,23750.9035370598,24896.8373884399,25972.1124456346,27112.4722745814,28259.023703618,29571.2810957166,30043.0686770841,30373.7499852568,30372.4609519694,28123.9686729055,34860.9002278934,37414.3536562249,36555.9380733907,51632.0990925231,46528.0769219696,43453.8011835297,41880.2249156186,28642.4749174335,36628.5034347301,36247.4519250341,29643.807241677,30143.5126554948,27478.8900954208,21409.8826543071,26299.6131242638,21435.2723577478,31469.0401345058,32703.1548803446,28075.6219155273,35769.7363927931,30597.8587043273,46845.0014495091,53108.7705688005,47994.2460106704,51168.2978294155,45269.6166296668,64058.536363143,63725.8735301663,57460.0005037146,69816.0541161745,70554.3667482197,77874.0419625212,78067.576710445,61993.7314418042,71031.9573390266,72039.0365365286,67603.2354212504
