"","LPI_final","CI_low","CI_high"
"1980",1,1,1
"1981",1.01470109385703,0.97808101595319,1.05374431870308
"1982",1.01688102377703,0.978983914490144,1.05489935542133
"1983",1.03238982905092,0.994728008342453,1.07149366606178
"1984",1.06376399426503,1.02556556421491,1.10311309485908
"1985",1.09429489525595,1.0566036549597,1.13633608070855
"1986",1.09782486549639,1.05767872578906,1.13470218093055
"1987",1.09818570606274,1.05953230901082,1.1416896188736
"1988",1.09939359221574,1.06124687334227,1.14150740810812
"1989",1.10179627885406,1.06176290756714,1.14141655896948
"1990",1.08982517346995,1.0520537018182,1.12850496271176
"1991",1.09021747619302,1.0539520102759,1.12981083658602
"1992",1.10090348475576,1.06291845250941,1.13947979974082
"1993",1.09692299029726,1.06093928621585,1.13569482586813
"1994",1.09978581862619,1.06213418070811,1.14032940299329
"1995",1.10021447143852,1.06342859422172,1.14001264286383
"1996",1.09452850918783,1.05549141245414,1.13434429965596
"1997",1.09960624327718,1.05980842829694,1.14201472782448
"1998",1.09355338994942,1.05656552510596,1.13461002304015
"1999",1.12412901363145,1.08657073455481,1.1628656319627
"2000",1.13488777116092,1.09665831900593,1.17326319811386
"2001",1.10424605416031,1.06733894041043,1.14475063923077
"2002",1.14154914755397,1.10074055157972,1.18263013624343
"2003",1.13043570899322,1.09445435391869,1.17041636232176
"2004",1.1363175799282,1.09755634677212,1.17524082008477
"2005",1.16125201467867,1.12249548519016,1.20408265728238
"2006",1.15848616441291,1.12015813450326,1.1991569027086
"2007",1.16248967268153,1.12319040697592,1.20137811064536
"2008",1.16223839763964,1.12376916447557,1.20125853519905
"2009",1.16342177141228,1.12551194944113,1.20190655276675
"2010",1.14734231574517,1.10826943844761,1.18568120199072
"2011",1.18068233133319,1.14307233602264,1.21910240527504
"2012",1.18977068999518,1.15028257328975,1.23147843619299
"2013",1.18310502623051,1.14376704376582,1.22468121580916
"2014",1.21440219516114,1.17399280824212,1.25607284997607
"2015",1.20551245846061,1.16579139085844,1.24857108060591
"2016",1.19583831591715,1.15518305022321,1.23804819554786
"2017",1.179206895148,1.1380932906749,1.22173526453363
"2018",1.15766313391698,1.11669964508409,1.19802175646612
"2019",1.16891126209155,1.12825182866858,1.21144649272254
