"","LPI_final_ADPE","CI_low_ADPE","CI_high_ADPE","LPI_final_CHPE","CI_low_CHPE","CI_high_CHPE","LPI_final_GEPE","CI_low_GEPE","CI_high_GEPE"
"1980",1,1,1,1,1,1,1,1,1
"1981",1.14197810108658,0.993989215755792,1.2998359894507,1.03980626456096,0.853082756590119,1.2466898346786,1.07216071571847,0.7803572376324,1.43989525652881
"1982",1.19444072537098,1.04634357414158,1.36426811756132,1.05631291496737,0.882073094027004,1.27290719708001,1.07694897868988,0.790003920072656,1.45459706258544
"1983",1.30108732494884,1.14290191286163,1.48206720774617,1.07803201827866,0.895170606283488,1.28472701339235,1.17166853985222,0.870524110418853,1.5408844233177
"1984",1.41909151670368,1.25446739957332,1.61715763692732,1.24153622974587,1.03999401295679,1.48202530779097,1.34482704691604,0.977469802981285,1.76388789270266
"1985",1.42828093703095,1.24600502732226,1.62683332434594,1.47317783760904,1.2167832510698,1.74780500178477,1.50503146609602,1.12322033585805,2.03045575481572
"1986",1.53768406712152,1.34182036473026,1.74096410783689,1.46475891335373,1.23571923429847,1.73540934296095,1.51536131608983,1.11887761890533,1.9791638682263
"1987",1.53747733190189,1.34976561534623,1.74360266320581,1.31707827485353,1.09500086975825,1.55947178187182,1.62733055594395,1.22066370394202,2.12779417851842
"1988",1.57364111968988,1.38305000390236,1.77435474639541,1.24392140764717,1.01320480788481,1.49925541466388,1.72307006498321,1.29721576429353,2.26041181350403
"1989",1.4338308071397,1.27213347485593,1.62313480374632,1.21283874310384,0.992245941467282,1.48345121349454,1.85966980746931,1.40927651904166,2.43709778122744
"1990",1.28466620991347,1.13618943438539,1.45523408139474,1.04797715360786,0.863831151048831,1.26881635746462,1.95181553112146,1.46596635047179,2.53081941816026
"1991",1.29559655918579,1.13684604076739,1.46641472072343,0.963630667102763,0.788087774921305,1.16573053505743,2.08212472550447,1.57817487181885,2.71736714777946
"1992",1.34761546789509,1.18417898384096,1.53148265383559,0.982825391026143,0.806263899504682,1.17909131268107,2.20462701572245,1.67088571763291,2.8477679282085
"1993",1.25355152083712,1.0928334323911,1.42985488086496,0.897354800491923,0.725982165625593,1.08063758021922,2.32687950453626,1.77786863462595,3.01287897447391
"1994",1.27186120143708,1.1152142427527,1.44011192390411,0.861433227187724,0.704595537431193,1.07321485257686,2.44560436563023,1.86768697884927,3.16547817872451
"1995",1.24899304878712,1.09309668913421,1.40569706052563,0.849527276357053,0.676375042183121,1.02205473199893,2.53133874767001,1.91643136848457,3.31288094234796
"1996",1.16584016529736,1.02310428325636,1.31024202753377,0.792127325640099,0.639791075223941,0.946244316530118,2.6105667604321,1.99677780327649,3.3975400372419
"1997",1.3101077734165,1.15531011465375,1.49151879398868,0.764692958181826,0.624016966658628,0.938975903665582,2.65114612895284,1.99995165422575,3.40478666646561
"1998",1.24885448437524,1.09787411057449,1.41097212393116,0.759336966924145,0.611609854817528,0.929886733121822,2.57749122527513,1.94684702722594,3.25790550925247
"1999",1.37824213902118,1.21527827481771,1.58478033365939,0.734524351468282,0.603504965505112,0.897254610037979,3.26915676681872,2.50126771015998,4.24878965580382
"2000",1.30394105601372,1.14549521163865,1.47319703540268,0.733500882279826,0.588961302557135,0.907818533591319,3.66302933801736,2.80437033485404,4.66241456440076
"2001",1.17195474749083,1.03700448602864,1.32738039944712,0.672532166035199,0.542360951192442,0.81993067732678,3.17842880183389,2.41393037691977,4.1145229436456
"2002",1.28457733087182,1.13461351968183,1.45164282409255,0.729990958656873,0.584075617855842,0.896028562850118,3.84991279204501,2.98081807466329,4.98581585635529
"2003",1.13374783592379,0.999587369634044,1.27993630998824,0.692652975227181,0.557536470516168,0.837108996264389,3.85967963202751,2.9496586977122,4.95315432636448
"2004",1.27809165293711,1.12522819657523,1.45144854427193,0.626570134098127,0.510155401575289,0.758649181758029,4.18822097653342,3.23595400849736,5.33354494519784
"2005",1.31638780721974,1.16017023844964,1.48116198942854,0.625163477081826,0.511483140628903,0.756517236014245,5.04371391372016,3.90646912623429,6.45892523829789
"2006",1.13416683392512,0.999195234663034,1.27924587082832,0.636141268210185,0.510146160867686,0.776135548917105,5.15954607630656,3.94430887618371,6.65656262343354
"2007",1.1398532933361,1.00299246423309,1.27894489707484,0.609568671745295,0.496030120289434,0.73657093757017,5.48353006262708,4.24953639408997,6.94835066459323
"2008",1.08268990057076,0.962216870698999,1.23318016253046,0.605104188884436,0.489903348949235,0.749564928669321,5.54849823323374,4.3614455161739,7.06190934986867
"2009",1.0772900398321,0.949308342682498,1.23121205260508,0.507195309749318,0.413637131556625,0.61372151794882,6.49730645346065,5.09132817107841,8.25534312791733
"2010",0.985940835351858,0.866571161641003,1.12411882081839,0.534984178058553,0.427899654323312,0.644998563373794,5.65133109195889,4.37370452198298,7.20504294626667
"2011",0.978069462465693,0.857076445651882,1.11504321514041,0.541941898882319,0.434902979904021,0.664328108785871,7.3104365989011,5.62373166715311,9.34196836886502
"2012",1.05908993348956,0.926058201709394,1.21085850619356,0.506310648302921,0.406934579897968,0.615240527727298,7.95265623395185,6.16853294830966,10.0311528853219
"2013",1.03018590967018,0.89191745226136,1.18153368891435,0.513619770128607,0.411421468406603,0.631033693439257,7.61134051615372,5.91882102504251,9.71352313819311
"2014",1.03484259224432,0.906731336507433,1.18599348737339,0.572359129736109,0.464477563859984,0.704705824512766,8.79409580134691,6.92601826745598,11.1552919444132
"2015",1.01853366932839,0.887807817919664,1.18227705030697,0.519256462104296,0.414019482625391,0.637166925667404,8.87566880633213,6.79909561248347,11.5402834558641
